"<strong>Blog</strong> Posts","<strong>Blog</strong> Posts"
"Read more","Read more"
"No posts.","No posts."
By:,By:
and,and
Tags:,Tags:
Share,Share
Categories,Categories
Recent,Recent
Posts,Posts
"Add to Bag","Add to Bag"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Cart","Add to Cart"
"Add to Quote","Add to Quote"
"<strong>Our</strong> Specials","<strong>Our</strong> Specials"
"Adding to Quote...","Adding to Quote..."
Email,Email
"Sign Up for Newsletter","Sign Up for Newsletter"
"Address Information","Address Information"
Company,Company
"Phone Number","Phone Number"
"Street Address","Street Address"
Address,Address
"Street Address %1","Street Address %1"
City,City
State/Province,State/Province
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Zip/Postal Code"
Country,Country
"* Required Fields","* Required Fields"
Password,Password
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
"Register with","Register with"
"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Learn More","Learn More"
Qty,Qty
"Please login to add to Quote.","Please login to add to Quote."
rent-try-buy,rent-try-buy
"+GST /WK*","+GST /WK*"
"Based on 12-month contract","Based on 12-month contract"
"Lease From","Lease From"
"Based on 24-month contract","Based on 24-month contract"
"Quote Items","Quote Items"
"Product Name","Product Name"
"Unit Price","Unit Price"
Quantity,Quantity
"Clear Quote","Clear Quote"
"Update Quote","Update Quote"
Item,Item
Price,Price
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
Actions,Actions
Quote,Quote
item,item
Downloads,Downloads
"View more","View more"
"Sub Categories","Sub Categories"
"Related Products","Related Products"
products,products
"Related ","Related "
"We found other products you might like!","We found other products you might like!"
interested,interested
"You may also be ","You may also be "
"More Choices:","More Choices:"
"New Products","New Products"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Items","%1 Items"
"Filter by:","Filter by:"
Brand,Brand
Badge,Badge
Color,Color
"Items on page:","Items on page:"
"Sort by:","Sort by:"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"View as","View as"
RRP:,RRP:
"Special Price","Special Price"
SAVE:,SAVE:
About,About
"Product ","Product "
Information,Information
Details,Details
"Share: ","Share: "
Specifications,Specifications
"More Information","More Information"
label,label
Tags,Tags
"Add your tags","Add your tags"
"Add Your Tags","Add Your Tags"
"Brand: ","Brand: "
"Product Code: ","Product Code: "
"Dimensions: ","Dimensions: "
"Weight: ","Weight: "
"Power: ","Power: "
"Status: ","Status: "
Available,Available
"Your search returned no results.","Your search returned no results."
"Discount Code","Discount Code"
"Enter discount code if you have one","Enter discount code if you have one"
"Enter code","Enter code"
"Apply Coupon","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"Shopping Cart Items","Shopping Cart Items"
Subtotal,Subtotal
"Silver Chef","Silver Chef"
"Rent - Try - Buy","Rent - Try - Buy"
"Continue Shopping","Continue Shopping"
"Clear Shopping Cart","Clear Shopping Cart"
"Update Shopping Cart","Update Shopping Cart"
"Copy to Quotation","Copy to Quotation"
SilverChef,SilverChef
Price:,Price:
Cart,Cart
Checkout,Checkout
Message,Message
Us,Us
Name,Name
Subject,Subject
Phone,Phone
"What’s on your mind?","What’s on your mind?"
Submit,Submit
"Your Name","Your Name"
"Your Email","Your Email"
"Your Phone","Your Phone"
Comment,Comment
"Whatӳ on your mind?","Whatӳ on your mind?"
"Send Email","Send Email"
"Default Billing Address","Default Billing Address"
Edit,Edit
"Default Shipping Address","Default Shipping Address"
"Hello,","Hello,"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information"
"Contact Information","Contact Information"
"Change Password","Change Password"
Newsletters,Newsletters
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Change Billing Address","Change Billing Address"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Change Shipping Address","Change Shipping Address"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"Additional Address Entries","Additional Address Entries"
"Edit Address","Edit Address"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"Add New Address","Add New Address"
Back,Back
Login,Login
"The Alpha Catering Equipment Store does not store your credit card information.","The Alpha Catering Equipment Store does not store your credit card information."
"Enter your Email","Enter your Email"
"Forgot Your Password?","Forgot Your Password?"
"Personal Information","Personal Information"
"Confirm Email Address","Confirm Email Address"
"Login Information","Login Information"
"Password Strength","Password Strength"
"No Password","No Password"
Signup,Signup
Telephone,Telephone
